# Data of size measurements for adult foraging penguins near Palmer Station, Antarctica
# Extracted from the R package {palmerpenguins}
# Originally published in: Gorman KB, Williams TD, Fraser WR (2014) Ecological Sexual Dimorphism and Environmental Variability within a Community of Antarctic Penguins (Genus Pygoscelis). PLoS ONE 9(3): e90081. doi:10.1371/journal.pone.0090081
sample_id	species	island	bill_length_mm	bill_depth_mm	flipper_length_mm	body_mass_g	sex	year
sample_01	adelie	torgersen	39.1	18.7	181	3750	male	2007
sample_02	adelie	torgersen	39.5	17.4	186	3800	female	2007
sample_03	adelie	torgersen	40.3	18	195	3250	female	2007
sample_04	adelie	torgersen	NA	NA	NA	NA	NA	2007
sample_05	adelie	torgersen	36.7	19.3	193	3450	female	2007
sample_06	adelie	torgersen	39.3	20.6	190	3650	male	2007
sample_07	adelie	torgersen	38.9	17.8	181	3625	female	2007
sample_08	adelie	torgersen	39.2	19.6	195	4675	male	2007
sample_09	adelie	torgersen	34.1	18.1	193	3475	NA	2007
sample_10	adelie	torgersen	42	20.2	190	4250	NA	2007
sample_11	adelie	torgersen	37.8	17.1	186	3300	NA	2007
sample_12	adelie	torgersen	37.8	17.3	180	3700	NA	2007
sample_13	adelie	torgersen	41.1	17.6	182	3200	female	2007
sample_14	adelie	torgersen	38.6	21.2	191	3800	male	2007
sample_15	adelie	torgersen	34.6	21.1	198	4400	male	2007
sample_16	adelie	torgersen	36.6	17.8	185	3700	female	2007
sample_17	adelie	torgersen	38.7	19	195	3450	female	2007
sample_18	adelie	torgersen	42.5	20.7	197	4500	male	2007
sample_19	adelie	torgersen	34.4	18.4	184	3325	female	2007
sample_20	adelie	torgersen	46	21.5	194	4200	male	2007
sample_21	adelie	biscoe	37.8	18.3	174	3400	female	2007
sample_22	adelie	biscoe	37.7	18.7	180	3600	male	2007
sample_23	adelie	biscoe	35.9	19.2	189	3800	female	2007
sample_24	adelie	biscoe	38.2	18.1	185	3950	male	2007
sample_25	adelie	biscoe	38.8	17.2	180	3800	male	2007
sample_26	adelie	biscoe	35.3	18.9	187	3800	female	2007
sample_27	adelie	biscoe	40.6	18.6	183	3550	male	2007
sample_28	adelie	biscoe	40.5	17.9	187	3200	female	2007
sample_29	adelie	biscoe	37.9	18.6	172	3150	female	2007
sample_30	adelie	biscoe	40.5	18.9	180	3950	male	2007
sample_31	adelie	dream	39.5	16.7	178	3250	female	2007
sample_32	adelie	dream	37.2	18.1	178	3900	male	2007
sample_33	adelie	dream	39.5	17.8	188	3300	female	2007
sample_34	adelie	dream	40.9	18.9	184	3900	male	2007
sample_35	adelie	dream	36.4	17	195	3325	female	2007
sample_36	adelie	dream	39.2	21.1	196	4150	male	2007
sample_37	adelie	dream	38.8	20	190	3950	male	2007
sample_38	adelie	dream	42.2	18.5	180	3550	female	2007
sample_39	adelie	dream	37.6	19.3	181	3300	female	2007
sample_40	adelie	dream	39.8	19.1	184	4650	male	2007
sample_41	adelie	dream	36.5	18	182	3150	female	2007
