sample_id	species	island	bill_length_mm	bill_depth_mm	flipper_length_mm	body_mass_g	sex	year	PC1	PC2	cluster
sample_01	adelie	torgersen	39.1	18.7	181.0	3750.0	male	2007	-1.8535930167131864	0.03206937654655708	0
sample_02	adelie	torgersen	39.5	17.4	186.0	3800.0	female	2007	-1.3162540581184379	-0.4435267651311412	0
sample_03	adelie	torgersen	40.3	18.0	195.0	3250.0	female	2007	-1.3766050922495185	-0.161230477580519	0
sample_05	adelie	torgersen	36.7	19.3	193.0	3450.0	female	2007	-1.8852883765366364	-0.012351235113154066	0
sample_06	adelie	torgersen	39.3	20.6	190.0	3650.0	male	2007	-1.919980739484931	0.8175981255448272	0
sample_07	adelie	torgersen	38.9	17.8	181.0	3625.0	female	2007	-1.773020314872441	-0.3662229567187881	0
sample_08	adelie	torgersen	39.2	19.6	195.0	4675.0	male	2007	-0.8184962495872298	0.501243084471379	0
sample_13	adelie	torgersen	41.1	17.6	182.0	3200.0	female	2007	-1.7989577269474688	-0.24539394464540018	0
sample_14	adelie	torgersen	38.6	21.2	191.0	3800.0	male	2007	-1.9561489235719705	0.9982828952580778	0
sample_15	adelie	torgersen	34.6	21.1	198.0	4400.0	male	2007	-1.5695231625275003	0.5780819480490208	0
sample_16	adelie	torgersen	36.6	17.8	185.0	3700.0	female	2007	-1.748001219465214	-0.6102442912581004	0
sample_17	adelie	torgersen	38.7	19.0	195.0	3450.0	female	2007	-1.5757737082839907	0.08683572648831858	0
sample_18	adelie	torgersen	42.5	20.7	197.0	4500.0	male	2007	-0.8047201900781972	1.2935559212983339	2
sample_19	adelie	torgersen	34.4	18.4	184.0	3325.0	female	2007	-2.3501780891599195	-0.6451910719722963	0
sample_20	adelie	torgersen	46.0	21.5	194.0	4200.0	male	2007	-1.0049864461699152	1.9724225089468075	2
sample_21	adelie	biscoe	37.8	18.3	174.0	3400.0	female	2007	-2.4082484443796295	-0.3089686449484408	0
sample_22	adelie	biscoe	37.7	18.7	180.0	3600.0	male	2007	-2.1136982540737965	-0.13649314410344385	0
sample_23	adelie	biscoe	35.9	19.2	189.0	3800.0	female	2007	-1.8570572928900144	-0.1091440601870065	0
sample_24	adelie	biscoe	38.2	18.1	185.0	3950.0	male	2007	-1.5050104246463951	-0.28912799691235286	0
sample_25	adelie	biscoe	38.8	17.2	180.0	3800.0	male	2007	-1.5811378606119078	-0.6039325172147548	0
sample_26	adelie	biscoe	35.3	18.9	187.0	3800.0	female	2007	-1.9284672183575204	-0.29739498064648834	0
sample_27	adelie	biscoe	40.6	18.6	183.0	3550.0	male	2007	-1.7629505393338358	0.13825976158997	0
sample_28	adelie	biscoe	40.5	17.9	187.0	3200.0	female	2007	-1.7036134101711502	-0.1878023067166198	0
sample_29	adelie	biscoe	37.9	18.6	172.0	3150.0	female	2007	-2.714174584393591	-0.20110631704245657	0
sample_30	adelie	biscoe	40.5	18.9	180.0	3950.0	male	2007	-1.6823281570620656	0.2855423303856491	0
sample_31	adelie	dream	39.5	16.7	178.0	3250.0	female	2007	-1.879949628552659	-0.7825809981240541	0
sample_32	adelie	dream	37.2	18.1	178.0	3900.0	male	2007	-1.9108136662751225	-0.4066950731066807	0
